task_name;item1;item2;item3;item4;item5;item6;item7;item8;item9;item10;item11;item12;item13;item14;item15;item16;item17;item18;item19;item20
comp;418;125;33;55;49;33;16;57;43;54;0;2;38;14;0;0;0;0;0;0
comp;331;283;173;24;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
comp;505;911;644;110;108;358;158;4;0;3;18;37;25;22;1;15;67;43;76;65
comp;221;209;227;148;45;29;30;45;51;1;1;56;0;0;0;1;39;20;58;2
comp;301;59;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
comp;134;145;89;33;13;13;53;52;163;234;100;147;125;159;44;29;97;49;11;123
comp;103;117;171;83;53;24;29;0;0;0;0;0;0;0;0;0;0;0;0;0
comp;439;240;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
comp;326;108;78;97;143;191;134;77;37;56;111;140;50;32;45;21;55;39;87;23
KA;120;52;42;69;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KA;922;539;267;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KA;74;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KA;440;4649;2896;1040;385;563;398;192;160;439;181;18;11;167;278;7;2;147;49;28
KA;147;282;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KA;471;87;143;108;54;58;32;16;33;38;42;94;22;19;63;79;69;36;97;93
KA;123;31;145;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KA;58;31;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
KA;578;243;110;85;384;179;266;242;142;97;37;98;73;101;214;70;164;2;56;64
KA;199;171;121;6;10;253;2;0;0;0;0;0;0;0;0;0;0;0;0;0
KA;108;15;46;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KA;5;209;402;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KA;358;2180;575;176;268;129;2;39;164;186;42;7;113;119;23;42;105;64;0;0
Planning;393;404;158;439;138;78;10;0;0;0;0;0;0;0;0;0;0;0;0;0
Planning;375;293;92;167;68;7;105;10;0;13;46;0;34;54;28;52;48;56;31;36
Planning;438;131;241;373;104;27;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Planning;14;164;269;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Planning;385;424;397;36;64;19;3;9;120;170;143;60;40;26;55;1;17;43;0;0
Planning;64;92;262;64;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Planning;142;116;214;25;18;24;16;0;0;0;0;0;0;0;0;0;0;0;0;0
Planning;98;106;128;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
